id,make_model_trim_id,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,make_model_trim
94,94,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),rear wheel drive,10-speed shiftable automatic,"{'id': 94, 'make_model_id': 21, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr Sedan (2.0L 4cyl Turbo 10A)', 'msrp': 43895, 'invoice': 41700, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 21, 'make_id': 5, 'name': 'CT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
95,95,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),rear wheel drive,10-speed shiftable automatic,"{'id': 95, 'make_model_id': 21, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr Sedan (2.0L 4cyl Turbo 10A)', 'msrp': 38195, 'invoice': 36285, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 21, 'make_id': 5, 'name': 'CT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
96,96,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),rear wheel drive,10-speed shiftable automatic,"{'id': 96, 'make_model_id': 21, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr Sedan (2.0L 4cyl Turbo 10A)', 'msrp': 42695, 'invoice': 40560, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 21, 'make_id': 5, 'name': 'CT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
97,97,gas,premium unleaded (required),V8,6.2,668,6400.0,659.0,3600.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,6-speed manual,"{'id': 97, 'make_model_id': 21, 'year': 2023, 'name': 'V Blackwing', 'description': 'V Blackwing 4dr Sedan (6.2L 8cyl S/C 6M)', 'msrp': 90995, 'invoice': 86445, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 21, 'make_id': 5, 'name': 'CT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
98,98,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 98, 'make_model_id': 22, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV (6.2L 8cyl 10A)', 'msrp': 78295, 'invoice': 74380, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
99,99,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 99, 'make_model_id': 22, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV (6.2L 8cyl 10A)', 'msrp': 90095, 'invoice': 85590, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
100,100,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 100, 'make_model_id': 22, 'year': 2023, 'name': 'Sport Platinum', 'description': 'Sport Platinum 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 107595, 'invoice': 102215, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
101,101,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 101, 'make_model_id': 22, 'year': 2023, 'name': 'Premium Luxury Platinum', 'description': 'Premium Luxury Platinum 4dr SUV (6.2L 8cyl 10A)', 'msrp': 104595, 'invoice': 99365, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
102,102,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 102, 'make_model_id': 22, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 90095, 'invoice': 85590, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
103,103,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 103, 'make_model_id': 22, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 81295, 'invoice': 77230, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
104,104,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 104, 'make_model_id': 22, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 93095, 'invoice': 88440, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
105,105,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 105, 'make_model_id': 22, 'year': 2023, 'name': 'Premium Luxury Platinum', 'description': 'Premium Luxury Platinum 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 107595, 'invoice': 102215, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
106,106,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 106, 'make_model_id': 22, 'year': 2023, 'name': 'Sport Platinum', 'description': 'Sport Platinum 4dr SUV (6.2L 8cyl 10A)', 'msrp': 104595, 'invoice': 99365, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
107,107,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 107, 'make_model_id': 22, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV (6.2L 8cyl 10A)', 'msrp': 87095, 'invoice': 82740, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
108,108,gas,premium unleaded (required),V8,6.2,682,6000.0,653.0,4400.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 108, 'make_model_id': 22, 'year': 2023, 'name': 'V', 'description': 'V 4dr SUV 4WD (6.2L 8cyl S/C 10A)', 'msrp': 148195, 'invoice': 140785, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 22, 'make_id': 5, 'name': 'Escalade', 'make': {'id': 5, 'name': 'Cadillac'}}}"
109,109,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 109, 'make_model_id': 23, 'year': 2023, 'name': 'Sport Platinum', 'description': 'Sport Platinum 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 110595, 'invoice': 105065, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
110,110,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 110, 'make_model_id': 23, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV (6.2L 8cyl 10A)', 'msrp': 90095, 'invoice': 85590, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
111,111,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 111, 'make_model_id': 23, 'year': 2023, 'name': 'Sport Platinum', 'description': 'Sport Platinum 4dr SUV (6.2L 8cyl 10A)', 'msrp': 107595, 'invoice': 102215, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
112,112,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 112, 'make_model_id': 23, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV (6.2L 8cyl 10A)', 'msrp': 81295, 'invoice': 77230, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
113,113,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 113, 'make_model_id': 23, 'year': 2023, 'name': 'Premium Luxury Platinum', 'description': 'Premium Luxury Platinum 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 110595, 'invoice': 105065, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
114,114,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 114, 'make_model_id': 23, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 96095, 'invoice': 91290, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
115,115,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 115, 'make_model_id': 23, 'year': 2023, 'name': 'Premium Luxury Platinum', 'description': 'Premium Luxury Platinum 4dr SUV (6.2L 8cyl 10A)', 'msrp': 107595, 'invoice': 102215, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
116,116,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,10-speed shiftable automatic,"{'id': 116, 'make_model_id': 23, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV (6.2L 8cyl 10A)', 'msrp': 93095, 'invoice': 88440, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
117,117,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 117, 'make_model_id': 23, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 84295, 'invoice': 80080, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
118,118,gas,premium unleaded (recommended),V8,6.2,420,5600.0,460.0,4100.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 118, 'make_model_id': 23, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV 4WD (6.2L 8cyl 10A)', 'msrp': 93095, 'invoice': 88440, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
119,119,gas,premium unleaded (required),V8,6.2,682,6000.0,653.0,4400.0,16.0,Variable,Overhead valves (OHV),four wheel drive,10-speed shiftable automatic,"{'id': 119, 'make_model_id': 23, 'year': 2023, 'name': 'V', 'description': 'V 4dr SUV 4WD (6.2L 8cyl S/C 10A)', 'msrp': 151195, 'invoice': 143635, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 23, 'make_id': 5, 'name': 'Escalade ESV', 'make': {'id': 5, 'name': 'Cadillac'}}}"
120,120,electric,electric,,,340,,325.0,,,,,rear wheel drive,1-speed direct drive,"{'id': 120, 'make_model_id': 24, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV (electric DD)', 'msrp': 61795, 'invoice': 58705, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 24, 'make_id': 5, 'name': 'LYRIQ', 'make': {'id': 5, 'name': 'Cadillac'}}}"
121,121,electric,electric,,,500,,,,,,,all wheel drive,1-speed direct drive,"{'id': 121, 'make_model_id': 24, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV AWD (electric DD)', 'msrp': 63795, 'invoice': 60605, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 24, 'make_id': 5, 'name': 'LYRIQ', 'make': {'id': 5, 'name': 'Cadillac'}}}"
122,122,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,9-speed shiftable automatic,"{'id': 122, 'make_model_id': 25, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV (2.0L 4cyl Turbo 9A)', 'msrp': 36295, 'invoice': 34480, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 25, 'make_id': 5, 'name': 'XT4', 'make': {'id': 5, 'name': 'Cadillac'}}}"
123,123,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,9-speed shiftable automatic,"{'id': 123, 'make_model_id': 25, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV (2.0L 4cyl Turbo 9A)', 'msrp': 40195, 'invoice': 38185, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 25, 'make_id': 5, 'name': 'XT4', 'make': {'id': 5, 'name': 'Cadillac'}}}"
124,124,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 124, 'make_model_id': 25, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV AWD (2.0L 4cyl Turbo 9A)', 'msrp': 43295, 'invoice': 41130, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 25, 'make_id': 5, 'name': 'XT4', 'make': {'id': 5, 'name': 'Cadillac'}}}"
125,125,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,9-speed shiftable automatic,"{'id': 125, 'make_model_id': 25, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV (2.0L 4cyl Turbo 9A)', 'msrp': 40795, 'invoice': 38755, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 25, 'make_id': 5, 'name': 'XT4', 'make': {'id': 5, 'name': 'Cadillac'}}}"
126,126,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 126, 'make_model_id': 25, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV AWD (2.0L 4cyl Turbo 9A)', 'msrp': 42695, 'invoice': 40560, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 25, 'make_id': 5, 'name': 'XT4', 'make': {'id': 5, 'name': 'Cadillac'}}}"
127,127,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 127, 'make_model_id': 25, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV AWD (2.0L 4cyl Turbo 9A)', 'msrp': 38795, 'invoice': 36855, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 25, 'make_id': 5, 'name': 'XT4', 'make': {'id': 5, 'name': 'Cadillac'}}}"
128,128,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,9-speed shiftable automatic,"{'id': 128, 'make_model_id': 26, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV (2.0L 4cyl Turbo 9A)', 'msrp': 44195, 'invoice': 41985, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 26, 'make_id': 5, 'name': 'XT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
129,129,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 129, 'make_model_id': 26, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV AWD (2.0L 4cyl Turbo 9A)', 'msrp': 46195, 'invoice': 43885, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 26, 'make_id': 5, 'name': 'XT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
130,130,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,9-speed shiftable automatic,"{'id': 130, 'make_model_id': 26, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV (2.0L 4cyl Turbo 9A)', 'msrp': 49995, 'invoice': 47495, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 26, 'make_id': 5, 'name': 'XT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
131,131,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 131, 'make_model_id': 26, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV AWD (2.0L 4cyl Turbo 9A)', 'msrp': 51995, 'invoice': 49395, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 26, 'make_id': 5, 'name': 'XT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
132,132,gas,regular unleaded,V6,3.6,310,6600.0,271.0,5000.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 132, 'make_model_id': 26, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV AWD (3.6L 6cyl 9A)', 'msrp': 57095, 'invoice': 54240, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 26, 'make_id': 5, 'name': 'XT5', 'make': {'id': 5, 'name': 'Cadillac'}}}"
133,133,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),front wheel drive,9-speed shiftable automatic,"{'id': 133, 'make_model_id': 27, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV (2.0L 4cyl Turbo 9A)', 'msrp': 48595, 'invoice': 46165, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 27, 'make_id': 5, 'name': 'XT6', 'make': {'id': 5, 'name': 'Cadillac'}}}"
134,134,gas,regular unleaded,V6,3.6,310,6600.0,271.0,5000.0,24.0,Variable,Double overhead cam (DOHC),front wheel drive,9-speed shiftable automatic,"{'id': 134, 'make_model_id': 27, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV (3.6L 6cyl 9A)', 'msrp': 54795, 'invoice': 52055, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 27, 'make_id': 5, 'name': 'XT6', 'make': {'id': 5, 'name': 'Cadillac'}}}"
135,135,gas,premium unleaded (recommended),I4,2.0,235,5000.0,258.0,1500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 135, 'make_model_id': 27, 'year': 2023, 'name': 'Luxury', 'description': 'Luxury 4dr SUV AWD (2.0L 4cyl Turbo 9A)', 'msrp': 50595, 'invoice': 48065, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 27, 'make_id': 5, 'name': 'XT6', 'make': {'id': 5, 'name': 'Cadillac'}}}"
136,136,gas,regular unleaded,V6,3.6,310,6600.0,271.0,5000.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 136, 'make_model_id': 27, 'year': 2023, 'name': 'Sport', 'description': 'Sport 4dr SUV AWD (3.6L 6cyl 9A)', 'msrp': 60095, 'invoice': 57090, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 27, 'make_id': 5, 'name': 'XT6', 'make': {'id': 5, 'name': 'Cadillac'}}}"
137,137,gas,regular unleaded,V6,3.6,310,6600.0,271.0,5000.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,9-speed shiftable automatic,"{'id': 137, 'make_model_id': 27, 'year': 2023, 'name': 'Premium Luxury', 'description': 'Premium Luxury 4dr SUV AWD (3.6L 6cyl 9A)', 'msrp': 56795, 'invoice': 53955, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 27, 'make_id': 5, 'name': 'XT6', 'make': {'id': 5, 'name': 'Cadillac'}}}"
138,138,electric,electric,,,200,,266.0,,,,,front wheel drive,1-speed direct drive,"{'id': 138, 'make_model_id': 28, 'year': 2023, 'name': 'LT', 'description': 'LT 4dr Hatchback (electric DD)', 'msrp': 27200, 'invoice': 26384, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 28, 'make_id': 6, 'name': 'Bolt EUV', 'make': {'id': 6, 'name': 'Chevrolet'}}}"
139,139,electric,electric,,,200,,266.0,,,,,front wheel drive,1-speed direct drive,"{'id': 139, 'make_model_id': 28, 'year': 2023, 'name': 'Premier', 'description': 'Premier 4dr Hatchback (electric DD)', 'msrp': 31700, 'invoice': 30749, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 28, 'make_id': 6, 'name': 'Bolt EUV', 'make': {'id': 6, 'name': 'Chevrolet'}}}"
140,140,electric,electric,,,200,,266.0,,,,,front wheel drive,1-speed direct drive,"{'id': 140, 'make_model_id': 29, 'year': 2023, 'name': '1LT', 'description': '1LT 4dr Hatchback (electric DD)', 'msrp': 25600, 'invoice': 25600, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 29, 'make_id': 6, 'name': 'Bolt EV', 'make': {'id': 6, 'name': 'Chevrolet'}}}"
141,141,electric,electric,,,200,,266.0,,,,,front wheel drive,1-speed direct drive,"{'id': 141, 'make_model_id': 29, 'year': 2023, 'name': '2LT', 'description': '2LT 4dr Hatchback (electric DD)', 'msrp': 28800, 'invoice': 28800, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 29, 'make_id': 6, 'name': 'Bolt EV', 'make': {'id': 6, 'name': 'Chevrolet'}}}"
142,142,gas,premium unleaded (recommended),V8,6.2,490,6450.0,465.0,5150.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,8-speed automated manual,"{'id': 142, 'make_model_id': 30, 'year': 2023, 'name': 'Stingray', 'description': 'Stingray 2dr Coupe w/1LT (6.2L 8cyl 8AM)', 'msrp': 64200, 'invoice': 59963, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 30, 'make_id': 6, 'name': 'Corvette', 'make': {'id': 6, 'name': 'Chevrolet'}}}"
143,143,gas,premium unleaded (recommended),V8,6.2,490,6450.0,465.0,5150.0,16.0,Variable,Overhead valves (OHV),rear wheel drive,8-speed automated manual,"{'id': 143, 'make_model_id': 30, 'year': 2023, 'name': 'Stingray', 'description': 'Stingray 2dr Coupe w/2LT (6.2L 8cyl 8AM)', 'msrp': 71500, 'invoice': 66781, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 30, 'make_id': 6, 'name': 'Corvette', 'make': {'id': 6, 'name': 'Chevrolet'}}}"
